#      step        H        error
702           -0.428127          0.00306143
703            -0.42119          0.00392268
704           -0.418126          0.00460644
705           -0.429746          0.00367007
706           -0.423726          0.00455211
707           -0.428421          0.00404247
708           -0.423526          0.00432528
709            -0.42149           0.0042118
710           -0.424018           0.0043181
711           -0.428507          0.00410751
712           -0.428444          0.00369014
713           -0.425446          0.00390864
714           -0.414603          0.00449707
715           -0.403812          0.00495155
716           -0.413194          0.00461734
717             -0.4009          0.00573708
718           -0.433141          0.00367581
719           -0.431131          0.00374718
720           -0.425455          0.00403348
721           -0.430904          0.00290153
722           -0.427575          0.00353033
723           -0.414069          0.00511336
724            -0.43081          0.00366186
725           -0.424011          0.00388425
726           -0.439406          0.00277538
727           -0.428667          0.00361024
728            -0.43264          0.00318901
729           -0.423132          0.00380869
730           -0.418889          0.00442941
731           -0.417538          0.00419646
732           -0.432842          0.00298958
733           -0.432375          0.00284613
734           -0.431453          0.00279585
735           -0.429261          0.00275169
736           -0.435088          0.00246917
737           -0.438951          0.00277405
738           -0.432612          0.00275475
739           -0.440137          0.00317273
740           -0.430771          0.00374802
741           -0.436899          0.00324688
742           -0.434734          0.00344035
743           -0.435763          0.00378706
744           -0.431274          0.00269864
745           -0.431168          0.00343041
746            -0.41955          0.00310614
747           -0.406772          0.00475431
748           -0.428667          0.00384813
749           -0.426278          0.00329759
750           -0.421869           0.0036516
751           -0.417888          0.00456503
752           -0.422051          0.00339414
753            -0.42205          0.00326125
754           -0.418549          0.00374645
755           -0.435519          0.00239548
756            -0.42971          0.00294194
757            -0.43481          0.00258665
758           -0.446285          0.00234268
759           -0.436528          0.00286947
760           -0.434683          0.00343224
761           -0.432981          0.00243519
762           -0.424876          0.00331188
763           -0.427789          0.00292751
764           -0.426703          0.00310406
765           -0.431125          0.00308214
766           -0.432371           0.0027173
767           -0.429454          0.00290787
768           -0.422379          0.00273148
769           -0.430748          0.00288415
770           -0.436182          0.00279516
771           -0.433523          0.00242556
772           -0.437852          0.00218186
773            -0.43733          0.00261401
774           -0.431455          0.00273154
775           -0.432961          0.00218439
776           -0.434726          0.00255648
777           -0.433109          0.00269769
778           -0.434212          0.00271776
779           -0.434122          0.00305581
780           -0.437743          0.00259799
781           -0.435846           0.0027439
782           -0.431361          0.00235652
783           -0.431411          0.00237973
784           -0.427231          0.00280754
785           -0.426938          0.00256747
786           -0.422335          0.00263281
787           -0.423935           0.0027746
788           -0.418182          0.00283879
789           -0.426804          0.00231164
790            -0.42287          0.00263968
791            -0.41446          0.00266597
792            -0.40804          0.00273952
793           -0.416704          0.00270729
794           -0.402298          0.00252998
795            -0.41283          0.00282585
796           -0.418701          0.00268034
797           -0.418358          0.00263119
798           -0.420775          0.00292086
799            -0.41777          0.00308197
800            -0.40967          0.00290103
801           -0.419518          0.00316299
802            -0.42733          0.00277256
803           -0.424058          0.00323178
804           -0.421914          0.00307006
805           -0.418175          0.00261078
806           -0.421388           0.0026565
807           -0.402948          0.00272281
808           -0.425839          0.00258579
809           -0.423742          0.00263662
810           -0.429163          0.00296537
811           -0.438012          0.00243863
812           -0.432555          0.00225214
813           -0.435291          0.00240939
814           -0.431628          0.00277651
815           -0.430874          0.00268643
816           -0.436644          0.00263732
817           -0.434557          0.00258483
818           -0.423602          0.00292545
819           -0.438368          0.00309006
820           -0.438272          0.00267651
821           -0.434136            0.002945
822            -0.43752          0.00300342
823           -0.422303          0.00291409
824           -0.435426          0.00270221
825           -0.431848          0.00259429
826           -0.429437          0.00258366
827           -0.422873          0.00301413
828           -0.431634          0.00244385
829           -0.430872          0.00258865
830           -0.426857          0.00271771
831           -0.431829          0.00241077
832           -0.432109          0.00270037
833           -0.436322          0.00270051
834           -0.436732          0.00270964
835           -0.437646           0.0023573
836           -0.439373          0.00210372
837           -0.432589          0.00248558
838           -0.434331          0.00265254
839           -0.440658          0.00245425
840           -0.424776          0.00254106
841           -0.434155           0.0030617
842           -0.439007          0.00279801
843           -0.433531          0.00283795
844           -0.415741          0.00289725
845           -0.424551           0.0028218
846           -0.423416          0.00357818
847           -0.405977          0.00414058
848           -0.402921           0.0047444
849           -0.417643          0.00374158
850           -0.421028          0.00297508
851           -0.421864          0.00286114
852            -0.42306          0.00304161
853           -0.425903          0.00286725
854           -0.418379          0.00251662
855           -0.417457          0.00306468
856            -0.42155          0.00310283
857           -0.429876          0.00310619
858           -0.428772           0.0025345
859           -0.434709           0.0033144
860           -0.430247          0.00307582
861           -0.415605           0.0034657
862           -0.434031          0.00273838
863           -0.426167          0.00290265
864           -0.426799          0.00325881
865           -0.424625           0.0027005
866            -0.42857           0.0027409
867           -0.426682          0.00247839
868           -0.420205          0.00238744
869           -0.421696          0.00269543
870           -0.430089          0.00256263
871           -0.432442           0.0025574
872            -0.43709          0.00296481
873           -0.437648          0.00241464
874           -0.441805          0.00272202
875           -0.440308          0.00269873
876           -0.444866          0.00238938
877            -0.44427          0.00249332
878           -0.446412          0.00263069
879            -0.43559          0.00306048
880           -0.442723          0.00306678
881           -0.437764          0.00259905
882           -0.435351           0.0026356
883           -0.440857          0.00343319
884           -0.439146          0.00297307
885           -0.437446          0.00303272
886           -0.437301          0.00246832
887           -0.429726          0.00353872
888           -0.420416          0.00406642
889           -0.450712          0.00253813
890           -0.441769          0.00294505
891           -0.442521           0.0024383
892           -0.443006           0.0029065
893            -0.44438          0.00246796
894           -0.436305          0.00288898
895           -0.430459          0.00325871
896            -0.44092          0.00273491
897           -0.439768          0.00271903
898           -0.437367          0.00268619
899           -0.438566          0.00269338
900           -0.419879          0.00347187
901           -0.430747          0.00328631
902           -0.430029          0.00321995
903           -0.438865          0.00245415
904           -0.434517          0.00250788
905           -0.438648          0.00247202
906           -0.441385           0.0022414
907           -0.441489          0.00250729
908           -0.437704          0.00232979
909           -0.437207          0.00246845
910           -0.435857          0.00247618
911           -0.443593          0.00207139
912           -0.439248          0.00246703
913           -0.441919          0.00259365
914           -0.448054          0.00218682
915           -0.445736          0.00266297
916           -0.444747          0.00251859
917           -0.444567           0.0025077
918           -0.445694          0.00281592
919           -0.440236          0.00279106
920           -0.444966          0.00243902
921           -0.437341          0.00307551
922           -0.441721            0.002744
923           -0.438635          0.00341507
924           -0.445745          0.00307658
925           -0.439079          0.00273407
926           -0.441896          0.00317287
927           -0.445039           0.0030126
928           -0.438191           0.0027753
929           -0.443701          0.00253169
930           -0.441101          0.00324937
