#      step        mu        sigma
900            0.770784             0.56987
901            0.770793            0.584741
902            0.757336            0.578791
903            0.768629            0.592804
904             0.75864             0.59814
905            0.772651            0.616458
906            0.765199            0.627041
907            0.762673             0.62147
908            0.762221            0.630439
909            0.755378            0.637271
910            0.760372            0.619559
911            0.770966            0.620954
912            0.768742            0.637812
913            0.788346            0.628544
914            0.793829            0.612283
915            0.798952            0.618684
916             0.81046            0.607711
917            0.815471            0.612772
918            0.815857            0.613219
919            0.826255            0.605922
920            0.819962            0.602077
921             0.83102            0.606483
922            0.838236            0.611226
923            0.823667            0.611157
924            0.827529            0.610209
925            0.819919            0.612887
926            0.814799            0.614292
927            0.816786             0.61098
928            0.812888            0.600693
929            0.821783            0.614937
930            0.815108            0.623328
931            0.801549            0.619418
932             0.81301            0.621736
933            0.820454             0.61742
934            0.826161            0.618427
935            0.820171            0.615606
936            0.822834             0.62076
937            0.794948            0.627538
938            0.804203            0.612857
939            0.789174            0.617562
940            0.790936            0.611132
941            0.795092            0.609907
942            0.806309            0.606934
943            0.804928            0.614269
944            0.794549            0.635038
945            0.805889            0.623089
946            0.801245            0.630417
947            0.803382            0.644232
948            0.795781            0.629974
949            0.803598             0.64305
950            0.811616            0.647402
951            0.806591            0.653353
952            0.797198            0.659575
953            0.807488            0.653069
954             0.81265            0.646068
955            0.807819            0.656301
956            0.818688             0.62223
957            0.819929            0.620629
958            0.809858             0.62482
959             0.82446            0.612902
960            0.822299            0.621312
961            0.823444            0.607737
962            0.833147             0.60223
963            0.830972            0.612838
964            0.829171            0.602057
965            0.833871            0.606885
966            0.828311            0.591529
967            0.835437            0.589068
968            0.829755            0.581222
969            0.815609            0.585031
970            0.818791            0.594131
971            0.814249             0.59084
972            0.799673            0.588934
973            0.798825             0.59429
974            0.805681            0.601089
975            0.796688            0.598046
976            0.800295            0.595497
977            0.788489            0.600898
978            0.782138            0.607134
979            0.783711            0.608403
980            0.795881            0.593494
981            0.789605            0.593494
982            0.799281             0.58571
983            0.780562             0.58271
984            0.789209            0.576406
985            0.773854            0.586205
986            0.787344             0.58888
987            0.769176            0.585476
988            0.766904             0.58268
989            0.777968            0.579326
990            0.785385            0.583314
991            0.766818            0.570217
992             0.78178            0.592362
993            0.777775            0.584066
994            0.768851            0.588866
995            0.773563            0.593045
996            0.784239            0.593249
997            0.783375            0.574254
998            0.765452             0.59256
999            0.777346            0.592346
