#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         553     -0.3608   -0.454996  0.00536157
         554     -0.3584   -0.454822  0.00535473
         555     -0.3624   -0.454655  0.00534767
         556     -0.4416   -0.454632   0.0053381
         557     -0.4424    -0.45461  0.00532857
         558     -0.3624   -0.454444  0.00532158
         559     -0.5248    -0.45457  0.00531355
         560     -0.5264   -0.454699  0.00530561
         561     -0.4448   -0.454681  0.00529618
         562     -0.4384   -0.454652  0.00528683
         563     -0.3584   -0.454481  0.00528021
         564     -0.2784   -0.454169  0.00528007
         565     -0.5992   -0.454425  0.00527696
         566       -0.44     -0.4544   0.0052677
         567       -0.36   -0.454234  0.00526104
         568       -0.44   -0.454208  0.00525183
         569      -0.524   -0.454331  0.00524403
         570     -0.5248   -0.454455  0.00523629
         571       -0.52    -0.45457  0.00522838
         572     -0.5168   -0.454678  0.00522037
         573     -0.5184    -0.45479  0.00521244
         574     -0.3584   -0.454622  0.00520607
         575     -0.4336   -0.454585  0.00519714
         576     -0.5904   -0.454821  0.00519347
         577     -0.5936   -0.455061  0.00519003
         578     -0.5896   -0.455294  0.00518627
         579     -0.4344   -0.455258  0.00517744
         580     -0.5152   -0.455361  0.00516954
         581     -0.5232   -0.455478  0.00516196
         582     -0.4408   -0.455453  0.00515315
         583        -0.6   -0.455701  0.00515028
         584      -0.444   -0.455681   0.0051415
         585       -0.44   -0.455654  0.00513278
         586       -0.28   -0.455354  0.00513276
         587     -0.4392   -0.455327  0.00512409
         588     -0.5192   -0.455435  0.00511653
         589     -0.4392   -0.455408  0.00510792
         590     -0.2752   -0.455102  0.00510838
         591     -0.3528   -0.454929  0.00510267
         592     -0.4328   -0.454892  0.00509419
         593     -0.4384   -0.454864  0.00508568
         594     -0.5224   -0.454978  0.00507838
         595     -0.5232   -0.455092  0.00507114
         596     -0.4464   -0.455078  0.00506266
         597     -0.4456   -0.455062   0.0050542
         598     -0.5224   -0.455175    0.005047
         599     -0.6056   -0.455426  0.00504482
         600     -0.5272   -0.455545  0.00503783
         601      -0.448   -0.455533  0.00502946
         602     -0.5264    -0.45565  0.00502249
         603     -0.4424   -0.455629  0.00501421
         604     -0.4432   -0.455608  0.00500595
         605     -0.4408   -0.455583  0.00499773
         606       -0.36   -0.455426  0.00499197
         607       -0.36   -0.455269  0.00498622
         608       -0.28    -0.45498  0.00498635
         609     -0.2784    -0.45469  0.00498658
         610     -0.4384   -0.454664  0.00497848
         611     -0.5184   -0.454768  0.00497143
         612     -0.6024   -0.455009  0.00496915
         613       -0.44   -0.454985  0.00496111
         614     -0.5984   -0.455218  0.00495852
         615     -0.5208   -0.455325  0.00495161
         616     -0.3568   -0.455165  0.00494615
